id,descripcion,created_at,updated_at,deleted_at
1,IBA A EXCESO DE VELOCIDAD ,2022-07-28 12:00,2022-07-28 12:00,NULL,
2,INVADIO EL CARRIL CONTRARIO,2022-07-28 12:00,2022-07-28 12:00,NULL,
3,REBASO INDEBIDAMENTE,2022-07-28 12:00,2022-07-28 12:00,NULL,
4,NO RESPETO LAS SEÑALES VIALES,2022-07-28 12:00,2022-07-28 12:00,NULL,
5,NO RESPETO EL SEMAFORO,2022-07-28 12:00,2022-07-28 12:00,NULL,
6,NO CEDIO EL PASO,2022-07-28 12:00,2022-07-28 12:00,NULL,
7,NO GUARDO DISTANCIA,2022-07-28 12:00,2022-07-28 12:00,NULL,
8,VIRO INDEBIDAMENTE,2022-07-28 12:00,2022-07-28 12:00,NULL,
9,DESLUMBRAMIENTO,2022-07-28 12:00,2022-07-28 12:00,NULL,
10,UTILIZABA EL TELEFONO MOVIL,2022-07-28 12:00,2022-07-28 12:00,NULL,
11,OTRO,2022-07-28 12:00,2022-07-28 12:00,NULL,
