id,descripcion,created_at,updated_at,deleted_at
1,AGENTES NATURALES,2022-07-28 12:00,2022-07-28 12:00,NULL,
2,LLOVIZNA,2022-07-28 12:00,2022-07-28 12:00,NULL,
3,LLUVIA,2022-07-28 12:00,2022-07-28 12:00,NULL,
4,AGUACERO,2022-07-28 12:00,2022-07-28 12:00,NULL,
5,NIEVE,2022-07-28 12:00,2022-07-28 12:00,NULL,
6,GRANIZO,2022-07-28 12:00,2022-07-28 12:00,NULL,
7,NEBLINA,2022-07-28 12:00,2022-07-28 12:00,NULL,
8,HUMO,2022-07-28 12:00,2022-07-28 12:00,NULL,
9,TOLVANERA,2022-07-28 12:00,2022-07-28 12:00,NULL,
10,VIENTOS FUERTES,2022-07-28 12:00,2022-07-28 12:00,NULL,
11,OTRO,2022-07-28 12:00,2022-07-28 12:00,NULL,
