id,clave_distrito,descripcion,created_at,deleted_at,updated_at
1,I,TUXTLA GUTIERREZ,2022-07-28 12:00,2022-07-28 12:00,NULL,
2,II,SAN CRISTOBAL DE LAS CASAS,2022-07-28 12:00,2022-07-28 12:00,NULL,
3,III,COMITAN DE DOMINGUEZ,2022-07-28 12:00,2022-07-28 12:00,NULL,
4,IV,VILLAFLORES,2022-07-28 12:00,2022-07-28 12:00,NULL,
5,V,PICHUCALCO,2022-07-28 12:00,2022-07-28 12:00,NULL,
6,VI,PALENQUE,2022-07-28 12:00,2022-07-28 12:00,NULL,
7,VII,TAPACHULA,2022-07-28 12:00,2022-07-28 12:00,NULL,
8,VIII,TONALA,2022-07-28 12:00,2022-07-28 12:00,NULL,
9,IX,OCOSINGO,2022-07-28 12:00,2022-07-28 12:00,NULL,
10,X,MOTOZINTLA,2022-07-28 12:00,2022-07-28 12:00,NULL,
