id,CVE_MUN,NOM_MUN
1,001,Acacoyagua
2,002,Acala
3,003,Acapetahua
4,004,Altamirano
5,005,Amatan
6,006,Amatenango de la Frontera
7,007,Amatenango del Valle
8,008,Angel Albino Corzo
9,009,Arriaga
10,010,Bejucal de Ocampo
11,011,Bella Vista
12,012,Berriozabal
13,013,Bochil
14,014,El Bosque
15,015,Cacahoatan
16,016,Catazaja
17,017,Cintalapa de Figueroa
18,018,Coapilla
19,019,Comitan de Dominguez
20,020,La Concordia
21,021,Copainala
22,022,Chalchihuitan
23,023,Chamula
24,024,Chanal
25,025,Chapultenango
26,026,Chenalho
27,027,Chiapa de Corzo
28,028,Chiapilla
29,029,Chicoasen
30,030,Chicomuselo
31,031,Chilon
32,032,Escuintla
33,033,Francisco Leon
34,034,Frontera Comalapa
35,035,Frontera Hidalgo
36,036,La Grandeza
37,037,Huehuetan
38,038,Huixtan
39,039,Huitiupan
40,040,Huixtla
41,041,La Independencia
42,042,Ixhuatan
43,043,Ixtacomitan
44,044,Ixtapa
45,045,Ixtapangajoya
46,046,Jiquipilas
47,047,Jitotol
48,048,Juarez
49,049,Larrainzar
50,050,La Libertad
51,051,Mapastepec
52,052,Las Margaritas
53,053,Mazapa de Madero
54,054,Mazatan
55,055,Metapa
56,056,Mitontic
57,057,Motozintla
58,058,Nicolas Ruiz
59,059,Ocosingo
60,060,Ocotepec
61,061,Ocozocoautla de Espinosa
62,062,Ostuacan
63,063,Osumacinta
64,064,Oxchuc
65,065,Palenque
66,066,Pantelho
67,067,Pantepec
68,068,Pichucalco
69,069,Pijijiapan
70,070,El Porvenir
71,071,Villa Comaltitlan
72,072,Pueblo Nuevo Solistahuacan
73,073,Rayon
74,074,Reforma
75,075,Las Rosas
76,076,Sabanilla
77,077,Salto de Agua
78,078,San Cristobal de las Casas
79,079,San Fernando
80,080,Siltepec
81,081,Simojovel
82,082,Sitala
83,083,Socoltenango
84,084,Solosuchiapa
85,085,Soyalo
86,086,Suchiapa
87,087,Suchiate
88,088,Sunuapa
89,089,Tapachula
90,090,Tapalapa
91,091,Tapilula
92,092,Tecpatan
93,093,Tenejapa
94,094,Teopisca
95,096,Tila
96,097,Tonala
97,098,Totolapa
98,099,La Trinitaria
99,100,Tumbala
100,101,Tuxtla Gutierrez
101,102,Tuxtla Chico
102,103,Tuzantan
103,104,Tzimol
104,105,Union Juarez
105,106,Venustiano Carranza
106,107,Villa Corzo
107,108,Villaflores
108,109,Yajalon
109,110,San Lucas
110,111,Zinacantan
111,112,San Juan Cancuc
112,113,Aldama
113,114,Benemerito de las Americas
114,115,Maravilla Tenejapa
115,116,Marques de Comillas
116,117,Montecristo de Guerrero
117,118,San Andres Duraznal
118,119,Santiago el Pinar
119,120,Capitan Luis Angel Vidal
120,121,Rincon Chamula San Pedro
121,122,El Parral
122,123,Emiliano Zapata
123,124,Mezcalapa
124,125,Honduras de la Sierra
