id,descripcion,S
1,ACACOYAGUA,
2,ACALA,
3,ACAPETAHUA,
4,ALTAMIRANO,
5,AMATAN,
6,AMATENANGO DE LA FRONTERA,
7,AMATENANGO DEL VALLE,
8,ANGEL ALBINO CORZO,
9,ARRIAGA,
10,BEJUCAL DE OCAMPO,
11,BELLA VISTA,
12,BERRIOZABAL,
13,BOCHIL,
14,EL BOSQUE,
15,CACAHOATAN,
16,CATAZAJA,
17,CINTALAPA,
18,COAPILLA,
19,COMITAN DE DOMINGUEZ,
20,LA CONCORDIA,
21,COPAINALA ,
22,CHALCHIHUITAN,
23,CHAMULA,
24,CHANAL,
25,CHAPULTENANGO,
26,CHENALHO,
27,CHIAPA DE CORZO,
28,CHIAPILLA,
29,CHICOASEN,
30,CHICOMUSELO,
31,CHILON,
32,ESCUINTLA,
33,FRANCISCO LEON,
34,FRONTERA COMALAPA,
35,FRONTERA HIDALGO,
36,LA GRANDEZA,
37,HUEHUETAN,
38,HUIXTAN,
39,HUITIUPAN,
40,HUIXTLA,
41,LA INDEPENDENCIA,
42,IXHUATAN,
43,IXTACOMITAN,
44,IXTAPA,
45,IXTAPANGAJOYA,
46,JIQUIPILAS,
47,JITOTOL,
48,JUAREZ,
49,LARRAINZAR,
50,LA LIBERTAD,
51,MAPASTEPEC,
52,LAS MARGARITAS,
53,MAZAPA DE MADERO,
54,MAZATAN,
55,METAPA,
56,MITONTIC,
57,MOTOZINTLA,
58,NICOLAS RUIZ,
59,OCOSINGO,
60,OCOTEPEC,
61,OCOZOCOAUTLA DE ESPINOSA,
62,OSTUACAN,
63,OSUMACINTA,
64,OXCHUC,
65,PALENQUE,
66,PANTELHO,
67,PANTEPEC,
68,PICHUCALCO,
69,PIJIJIAPAN,
70,EL PORVENIR,
71,VILLA COMALTITLAN,
72,PUEBLO NUEVO SOLISTAHUACAN,
73,RAYON,
74,REFORMA,
75,LAS ROSAS,
76,SABANILLA,
77,SALTO DE AGUA,
78,SAN CRISTOBAL DE LAS CASAS,
79,SAN FERNANDO,
80,SILTEPEC,
81,SIMOJOVEL,
82,SITALA,
83,SOCOLTENANGO,
84,SOLOSUCHIAPA,
85,SOYALO,
86,SUCHIAPA,
87,SUCHIATE,
88,SUNUAPA,
89,TAPACHULA,
90,TAPALAPA,
91,TAPILULA,
92,TECPATAN,
93,TENEJAPA,
94,TEOPISCA,
95,TILA,
96,TONALA,
97,TOTOLAPA,
98,LA TRINITARIA,
99,TUMBALA,
100,TUXTLA GUTIERREZ,
101,TUXTLA CHICO,
102,TUZANTAN,
103,TZIMOL,
104,UNION JUAREZ,
105,VENUSTIANO CARRANZA,
106,VILLA CORZO,
107,VILLAFLORES,
108,YAJALON,
109,SAN LUCAS,
110,ZINACANTAN,
111,SAN JUAN CANCUC,
112,ALDAMA,
113,BENEMERITO DE LAS AMERICAS,
114,MARAVILLA TENEJAPA,
115,MARQUES DE COMILLAS,
116,MONTECRISTO DE GUERRERO,
117,SAN ANDRES DURAZNAL,
118,SANTIAGO EL PINAR,
119,CAPITAN LUIS ANGEL VIDAL,
120,RINCON CHAMULA SAN PEDRO,
121,EL PARRAL,
122,EMILIANO ZAPATA,
123,MEZCALAPA,
124,HONDURAS DE LA SIERRA,
