id,descripcion,created_at,updated_at,deleted_at
1,COLISION CON VEHICULO AUTOMOTOR,2022-07-28 12:00,2022-07-28 12:00,NULL,
2,ATROPELLAMIENTO,2022-07-28 12:00,2022-07-28 12:00,NULL,
3,COLISION CON ANIMAL,2022-07-28 12:00,2022-07-28 12:00,NULL,
4,COLISION CON OBJETO FIJO,2022-07-28 12:00,2022-07-28 12:00,NULL,
5,VOLCADURA,2022-07-28 12:00,2022-07-28 12:00,NULL,
6,CAIDA DE PASAJE,2022-07-28 12:00,2022-07-28 12:00,NULL,
7,SALIDA DE CAMINO,2022-07-28 12:00,2022-07-28 12:00,NULL,
8,INCENDIO,2022-07-28 12:00,2022-07-28 12:00,NULL,
9,COLISION CON FERROCARRIL,2022-07-28 12:00,2022-07-28 12:00,NULL,
10,COLISION CON MOTOCICLETA,2022-07-28 12:00,2022-07-28 12:00,NULL,
11,COLISION CON CICLISTA,2022-07-28 12:00,2022-07-28 12:00,NULL,
12,OTRO,2022-07-28 12:00,2022-07-28 12:00,NULL,
