id,descripcion,created_at,updated_at,deleted_at
1,LLANTA,2022-07-28 12:00,2022-07-28 12:00,NULL,
2,FRENOS,2022-07-28 12:00,2022-07-28 12:00,NULL,
3,DIRECCION,2022-07-28 12:00,2022-07-28 12:00,NULL,
4,SUSPENSION,2022-07-28 12:00,2022-07-28 12:00,NULL,
5,LUCES,2022-07-28 12:00,2022-07-28 12:00,NULL,
6,EJES,2022-07-28 12:00,2022-07-28 12:00,NULL,
7,TRANSMISION,2022-07-28 12:00,2022-07-28 12:00,NULL,
8,MOTOR,2022-07-28 12:00,2022-07-28 12:00,NULL,
9,SOBRECARGA,2022-07-28 12:00,2022-07-28 12:00,NULL,
10,EXCESO DE DIMENSIONES,2022-07-28 12:00,2022-07-28 12:00,NULL,
11,OTRO,2022-07-28 12:00,2022-07-28 12:00,NULL,
